Cycle 1:
F0: , dataRdy: N, 
F5: Add2, dataRdy: Y, 
F6: , dataRdy: N, 
F7: , dataRdy: N, 
F8: Add1, dataRdy: Y, 
F9: , dataRdy: N, 
F10: Mult2, dataRdy: Y, 
F11: Mult0, dataRdy: N, 
F12: , dataRdy: N, 
F13: , dataRdy: N, 
F14: , dataRdy: N, 

Cycle 58:
F0: , dataRdy: N, 
F1: Load0, dataRdy: Y, 
F2: Add0, dataRdy: Y, 
F3: Load1, dataRdy: Y, 
F4: Add1, dataRdy: Y, 
F5: Add2, dataRdy: Y, 
F6: , dataRdy: N, 
F7: , dataRdy: N, 
F8: Add1, dataRdy: Y, 
F9: , dataRdy: N, 
F10: Mult2, dataRdy: Y, 
F11: Mult0, dataRdy: Y, 
F12: , dataRdy: N, 
F13: , dataRdy: N, 
F14: , dataRdy: N, 

Instruction Status:
Instr0: Issued: 1, Completed: 3, Write Result: 4, 
Instr1: Issued: 2, Completed: 4, Write Result: 5, 
Instr2: Issued: 3, Completed: 7, Write Result: 8, 
Instr3: Issued: 4, Completed: 10, Write Result: 11, 
Instr4: Issued: 5, Completed: 15, Write Result: 16, 
Instr5: Issued: 6, Completed: 56, Write Result: 57, 
Instr6: Issued: 7, Completed: 9, Write Result: 10, 
Instr7: Issued: 8, Completed: 13, Write Result: 14, 
Instr8: Issued: 9, Completed: 13, Write Result: 15, 
Instr9: Issued: 11, Completed: 13, Write Result: 17, 
Instr10: Issued: 12, Completed: 27, Write Result: 28, 
Instr11: Issued: 16, Completed: 56, Write Result: 58, 
